SaleDate,Item,Quantity,Price,Category,TotalSales,source_file
2003-02-24,S10_1678,30,95.7,Motorcycles,2871.0,sales_data_sample.csv
2003-05-07,S10_1678,34,81.35,Motorcycles,2765.8999999999996,sales_data_sample.csv
2003-07-01,S10_1678,41,94.74,Motorcycles,3884.3399999999997,sales_data_sample.csv
2003-08-25,S10_1678,45,83.26,Motorcycles,3746.7000000000003,sales_data_sample.csv
2003-10-10,S10_1678,49,100.0,Motorcycles,4900.0,sales_data_sample.csv
2003-10-28,S10_1678,36,96.66,Motorcycles,3479.7599999999998,sales_data_sample.csv
2003-11-11,S10_1678,29,86.13,Motorcycles,2497.77,sales_data_sample.csv
2003-11-18,S10_1678,48,100.0,Motorcycles,4800.0,sales_data_sample.csv
2003-12-01,S10_1678,22,98.57,Motorcycles,2168.54,sales_data_sample.csv
2004-01-15,S10_1678,41,100.0,Motorcycles,4100.0,sales_data_sample.csv
2004-02-20,S10_1678,37,100.0,Motorcycles,3700.0,sales_data_sample.csv
2004-04-05,S10_1678,23,100.0,Motorcycles,2300.0,sales_data_sample.csv
2004-05-18,S10_1678,28,100.0,Motorcycles,2800.0,sales_data_sample.csv
2004-06-28,S10_1678,34,100.0,Motorcycles,3400.0,sales_data_sample.csv
2004-07-23,S10_1678,45,92.83,Motorcycles,4177.35,sales_data_sample.csv
2004-08-27,S10_1678,36,100.0,Motorcycles,3600.0,sales_data_sample.csv
2004-09-30,S10_1678,23,100.0,Motorcycles,2300.0,sales_data_sample.csv
2004-10-15,S10_1678,41,100.0,Motorcycles,4100.0,sales_data_sample.csv
2004-11-02,S10_1678,46,94.74,Motorcycles,4358.04,sales_data_sample.csv
2004-11-15,S10_1678,42,100.0,Motorcycles,4200.0,sales_data_sample.csv
2004-11-24,S10_1678,41,100.0,Motorcycles,4100.0,sales_data_sample.csv
2004-12-17,S10_1678,20,72.55,Motorcycles,1451.0,sales_data_sample.csv
2005-02-03,S10_1678,21,34.91,Motorcycles,733.1099999999999,sales_data_sample.csv
2005-03-03,S10_1678,42,76.36,Motorcycles,3207.12,sales_data_sample.csv
2005-04-08,S10_1678,24,100.0,Motorcycles,2400.0,sales_data_sample.csv
2003-01-29,S10_1949,26,100.0,Classic Cars,2600.0,sales_data_sample.csv
2003-03-24,S10_1949,29,100.0,Classic Cars,2900.0,sales_data_sample.csv
2003-05-28,S10_1949,38,100.0,Classic Cars,3800.0,sales_data_sample.csv
2003-07-24,S10_1949,37,100.0,Classic Cars,3700.0,sales_data_sample.csv
2003-09-19,S10_1949,45,100.0,Classic Cars,4500.0,sales_data_sample.csv
2003-10-20,S10_1949,21,100.0,Classic Cars,2100.0,sales_data_sample.csv
2003-11-06,S10_1949,34,100.0,Classic Cars,3400.0,sales_data_sample.csv
2003-11-13,S10_1949,23,100.0,Classic Cars,2300.0,sales_data_sample.csv
2003-11-25,S10_1949,42,100.0,Classic Cars,4200.0,sales_data_sample.csv
2003-12-05,S10_1949,47,100.0,Classic Cars,4700.0,sales_data_sample.csv
2004-01-29,S10_1949,35,100.0,Classic Cars,3500.0,sales_data_sample.csv
2004-03-10,S10_1949,29,100.0,Classic Cars,2900.0,sales_data_sample.csv
2004-05-04,S10_1949,34,100.0,Classic Cars,3400.0,sales_data_sample.csv
2004-06-15,S10_1949,32,100.0,Classic Cars,3200.0,sales_data_sample.csv
2004-07-19,S10_1949,21,100.0,Classic Cars,2100.0,sales_data_sample.csv
2004-08-17,S10_1949,34,100.0,Classic Cars,3400.0,sales_data_sample.csv
2004-09-08,S10_1949,37,100.0,Classic Cars,3700.0,sales_data_sample.csv
2004-10-11,S10_1949,47,100.0,Classic Cars,4700.0,sales_data_sample.csv
2004-10-21,S10_1949,48,100.0,Classic Cars,4800.0,sales_data_sample.csv
2004-11-04,S10_1949,40,100.0,Classic Cars,4000.0,sales_data_sample.csv
2004-11-18,S10_1949,26,100.0,Classic Cars,2600.0,sales_data_sample.csv
2004-11-29,S10_1949,30,100.0,Classic Cars,3000.0,sales_data_sample.csv
2004-12-10,S10_1949,32,100.0,Classic Cars,3200.0,sales_data_sample.csv
2005-01-20,S10_1949,41,100.0,Classic Cars,4100.0,sales_data_sample.csv
2005-02-17,S10_1949,36,100.0,Classic Cars,3600.0,sales_data_sample.csv
2005-03-09,S10_1949,24,100.0,Classic Cars,2400.0,sales_data_sample.csv
2005-05-01,S10_1949,23,100.0,Classic Cars,2300.0,sales_data_sample.csv
2003-02-24,S10_2016,39,99.91,Motorcycles,3896.49,sales_data_sample.csv
2003-04-29,S10_2016,29,96.34,Motorcycles,2793.86,sales_data_sample.csv
2003-07-01,S10_2016,27,100.0,Motorcycles,2700.0,sales_data_sample.csv
2003-08-25,S10_2016,37,100.0,Motorcycles,3700.0,sales_data_sample.csv
2003-10-10,S10_2016,37,100.0,Motorcycles,3700.0,sales_data_sample.csv
2003-10-28,S10_2016,27,100.0,Motorcycles,2700.0,sales_data_sample.csv
2003-11-11,S10_2016,42,100.0,Motorcycles,4200.0,sales_data_sample.csv
2003-11-18,S10_2016,38,96.34,Motorcycles,3660.92,sales_data_sample.csv
2003-12-01,S10_2016,24,100.0,Motorcycles,2400.0,sales_data_sample.csv
2004-01-12,S10_2016,23,100.0,Motorcycles,2300.0,sales_data_sample.csv
2004-02-20,S10_2016,47,100.0,Motorcycles,4700.0,sales_data_sample.csv
2004-04-03,S10_2016,22,100.0,Motorcycles,2200.0,sales_data_sample.csv
2004-05-18,S10_2016,44,100.0,Motorcycles,4400.0,sales_data_sample.csv
2004-06-28,S10_2016,40,100.0,Motorcycles,4000.0,sales_data_sample.csv
2004-07-23,S10_2016,22,100.0,Motorcycles,2200.0,sales_data_sample.csv
2004-08-27,S10_2016,47,100.0,Motorcycles,4700.0,sales_data_sample.csv
2004-09-27,S10_2016,39,96.34,Motorcycles,3757.26,sales_data_sample.csv
2004-10-15,S10_2016,34,100.0,Motorcycles,3400.0,sales_data_sample.csv
2004-11-02,S10_2016,45,100.0,Motorcycles,4500.0,sales_data_sample.csv
2004-11-15,S10_2016,20,100.0,Motorcycles,2000.0,sales_data_sample.csv
2004-11-23,S10_2016,40,68.92,Motorcycles,2756.8,sales_data_sample.csv
2004-12-17,S10_2016,26,51.15,Motorcycles,1329.8999999999999,sales_data_sample.csv
2005-02-02,S10_2016,39,100.0,Motorcycles,3900.0,sales_data_sample.csv
2005-03-03,S10_2016,50,44.51,Motorcycles,2225.5,sales_data_sample.csv
2005-04-07,S10_2016,45,100.0,Motorcycles,4500.0,sales_data_sample.csv
2003-02-24,S10_4698,27,100.0,Motorcycles,2700.0,sales_data_sample.csv
2003-04-29,S10_4698,46,100.0,Motorcycles,4600.0,sales_data_sample.csv
2003-07-01,S10_4698,31,100.0,Motorcycles,3100.0,sales_data_sample.csv
2003-08-25,S10_4698,33,100.0,Motorcycles,3300.0,sales_data_sample.csv
2003-10-10,S10_4698,22,100.0,Motorcycles,2200.0,sales_data_sample.csv
2003-10-28,S10_4698,20,100.0,Motorcycles,2000.0,sales_data_sample.csv
2003-11-11,S10_4698,41,100.0,Motorcycles,4100.0,sales_data_sample.csv
2003-11-18,S10_4698,45,100.0,Motorcycles,4500.0,sales_data_sample.csv
2003-12-01,S10_4698,49,100.0,Motorcycles,4900.0,sales_data_sample.csv
2004-01-12,S10_4698,34,100.0,Motorcycles,3400.0,sales_data_sample.csv
2004-02-20,S10_4698,49,100.0,Motorcycles,4900.0,sales_data_sample.csv
2004-04-05,S10_4698,39,100.0,Motorcycles,3900.0,sales_data_sample.csv
2004-05-18,S10_4698,43,100.0,Motorcycles,4300.0,sales_data_sample.csv
2004-06-28,S10_4698,41,100.0,Motorcycles,4100.0,sales_data_sample.csv
2004-07-23,S10_4698,36,100.0,Motorcycles,3600.0,sales_data_sample.csv
2004-08-27,S10_4698,27,100.0,Motorcycles,2700.0,sales_data_sample.csv
2004-09-30,S10_4698,29,100.0,Motorcycles,2900.0,sales_data_sample.csv
2004-10-15,S10_4698,20,100.0,Motorcycles,2000.0,sales_data_sample.csv
2004-11-02,S10_4698,37,100.0,Motorcycles,3700.0,sales_data_sample.csv
2004-11-15,S10_4698,26,100.0,Motorcycles,2600.0,sales_data_sample.csv
2004-11-23,S10_4698,39,76.67,Motorcycles,2990.13,sales_data_sample.csv
2005-01-05,S10_4698,22,100.0,Motorcycles,2200.0,sales_data_sample.csv
2005-02-02,S10_4698,22,100.0,Motorcycles,2200.0,sales_data_sample.csv
2005-03-03,S10_4698,21,86.77,Motorcycles,1822.1699999999998,sales_data_sample.csv
2005-04-08,S10_4698,66,100.0,Motorcycles,6600.0,sales_data_sample.csv
2003-02-11,S10_4757,50,100.0,Classic Cars,5000.0,sales_data_sample.csv
2003-04-28,S10_4757,46,100.0,Classic Cars,4600.0,sales_data_sample.csv
2003-06-12,S10_4757,33,100.0,Classic Cars,3300.0,sales_data_sample.csv
2003-08-10,S10_4757,49,100.0,Classic Cars,4900.0,sales_data_sample.csv
2003-10-06,S10_4757,32,100.0,Classic Cars,3200.0,sales_data_sample.csv
2003-11-08,S10_4757,24,100.0,Classic Cars,2400.0,sales_data_sample.csv
2003-11-14,S10_4757,26,100.0,Classic Cars,2600.0,sales_data_sample.csv
2003-11-26,S10_4757,45,100.0,Classic Cars,4500.0,sales_data_sample.csv
2004-01-09,S10_4757,39,100.0,Classic Cars,3900.0,sales_data_sample.csv
2004-02-19,S10_4757,49,100.0,Classic Cars,4900.0,sales_data_sample.csv
2004-06-17,S10_4757,27,100.0,Classic Cars,2700.0,sales_data_sample.csv
2004-07-21,S10_4757,30,100.0,Classic Cars,3000.0,sales_data_sample.csv
2004-08-20,S10_4757,25,100.0,Classic Cars,2500.0,sales_data_sample.csv
2004-09-10,S10_4757,24,100.0,Classic Cars,2400.0,sales_data_sample.csv
2004-10-14,S10_4757,22,100.0,Classic Cars,2200.0,sales_data_sample.csv
2004-11-01,S10_4757,33,100.0,Classic Cars,3300.0,sales_data_sample.csv
2004-11-05,S10_4757,47,64.93,Classic Cars,3051.7100000000005,sales_data_sample.csv
2004-11-21,S10_4757,25,48.05,Classic Cars,1201.25,sales_data_sample.csv
2004-12-02,S10_4757,26,75.47,Classic Cars,1962.22,sales_data_sample.csv
2004-12-15,S10_4757,48,54.68,Classic Cars,2624.64,sales_data_sample.csv
2005-01-31,S10_4757,39,100.0,Classic Cars,3900.0,sales_data_sample.csv
2005-02-23,S10_4757,34,100.0,Classic Cars,3400.0,sales_data_sample.csv
2005-03-17,S10_4757,32,100.0,Classic Cars,3200.0,sales_data_sample.csv
2005-04-01,S10_4757,64,100.0,Classic Cars,6400.0,sales_data_sample.csv
2003-01-29,S10_4962,42,100.0,Classic Cars,4200.0,sales_data_sample.csv
2003-04-01,S10_4962,31,100.0,Classic Cars,3100.0,sales_data_sample.csv
2003-05-28,S10_4962,22,100.0,Classic Cars,2200.0,sales_data_sample.csv
2003-07-24,S10_4962,26,100.0,Classic Cars,2600.0,sales_data_sample.csv
2003-09-19,S10_4962,20,100.0,Classic Cars,2000.0,sales_data_sample.csv
2003-10-21,S10_4962,21,100.0,Classic Cars,2100.0,sales_data_sample.csv
2003-11-06,S10_4962,33,100.0,Classic Cars,3300.0,sales_data_sample.csv
2003-11-13,S10_4962,28,100.0,Classic Cars,2800.0,sales_data_sample.csv
2003-11-25,S10_4962,26,100.0,Classic Cars,2600.0,sales_data_sample.csv
2003-12-09,S10_4962,31,100.0,Classic Cars,3100.0,sales_data_sample.csv
2004-02-04,S10_4962,48,100.0,Classic Cars,4800.0,sales_data_sample.csv
2004-03-11,S10_4962,50,100.0,Classic Cars,5000.0,sales_data_sample.csv
2004-05-04,S10_4962,28,100.0,Classic Cars,2800.0,sales_data_sample.csv
2004-06-15,S10_4962,26,100.0,Classic Cars,2600.0,sales_data_sample.csv
2004-07-19,S10_4962,32,100.0,Classic Cars,3200.0,sales_data_sample.csv
2004-08-19,S10_4962,44,100.0,Classic Cars,4400.0,sales_data_sample.csv
2004-09-08,S10_4962,30,100.0,Classic Cars,3000.0,sales_data_sample.csv
2004-10-13,S10_4962,38,100.0,Classic Cars,3800.0,sales_data_sample.csv
2004-10-22,S10_4962,40,100.0,Classic Cars,4000.0,sales_data_sample.csv
2004-11-04,S10_4962,46,61.99,Classic Cars,2851.54,sales_data_sample.csv
2004-11-29,S10_4962,27,100.0,Classic Cars,2700.0,sales_data_sample.csv
2004-12-10,S10_4962,43,100.0,Classic Cars,4300.0,sales_data_sample.csv
2005-01-20,S10_4962,35,65.63,Classic Cars,2297.0499999999997,sales_data_sample.csv
2005-02-17,S10_4962,37,100.0,Classic Cars,3700.0,sales_data_sample.csv
2005-03-09,S10_4962,37,46.9,Classic Cars,1735.3,sales_data_sample.csv
2005-05-01,S10_4962,27,100.0,Classic Cars,2700.0,sales_data_sample.csv
2003-03-03,S12_1099,33,100.0,Classic Cars,3300.0,sales_data_sample.csv
2003-05-08,S12_1099,42,100.0,Classic Cars,4200.0,sales_data_sample.csv
2003-07-02,S12_1099,42,100.0,Classic Cars,4200.0,sales_data_sample.csv
2003-09-05,S12_1099,48,100.0,Classic Cars,4800.0,sales_data_sample.csv
2003-10-10,S12_1099,41,100.0,Classic Cars,4100.0,sales_data_sample.csv
2003-11-04,S12_1099,30,100.0,Classic Cars,3000.0,sales_data_sample.csv
2003-11-12,S12_1099,27,100.0,Classic Cars,2700.0,sales_data_sample.csv
2003-11-20,S12_1099,21,100.0,Classic Cars,2100.0,sales_data_sample.csv
2003-12-02,S12_1099,20,100.0,Classic Cars,2000.0,sales_data_sample.csv
2004-01-15,S12_1099,41,100.0,Classic Cars,4100.0,sales_data_sample.csv
